iter	Passed	Remaining
471	657	735
472	658	733
473	658	731
474	659	728
475	660	726
476	660	724
477	661	722
478	661	719
479	662	717
480	663	715
481	663	713
482	664	711
483	664	708
484	667	708
485	667	706
486	668	704
487	669	702
488	670	700
489	670	698
490	671	696
491	672	693
492	672	691
493	673	689
494	673	687
495	674	685
496	675	683
497	675	681
498	676	679
499	677	677
500	677	674
501	678	672
502	679	671
503	680	670
504	681	668
505	682	666
506	682	664
507	683	662
508	684	659
509	684	657
510	685	655
511	686	653
512	686	651
513	687	649
514	688	647
515	688	645
516	689	643
517	689	641
518	690	639
519	691	637
520	691	635
521	692	633
522	693	632
523	694	631
524	695	629
525	696	627
526	696	625
527	697	623
528	698	621
529	698	619
530	699	617
531	700	615
532	700	613
533	701	611
534	701	610
535	702	608
536	703	606
537	703	604
538	704	602
539	704	600
540	705	598
541	706	596
542	706	594
543	707	593
544	708	591
545	710	590
546	711	588
547	711	587
548	712	585
549	712	583
550	713	581
551	714	579
552	715	578
553	715	576
554	716	574
555	717	572
556	717	570
557	718	569
558	719	567
559	719	565
560	720	563
561	721	561
562	722	561
563	726	561
564	727	560
565	729	559
566	730	557
567	731	556
568	731	554
569	732	552
570	733	550
571	733	549
572	734	547
573	735	545
574	735	543
575	737	542
576	737	540
577	740	540
578	741	539
579	742	537
580	742	535
581	743	534
582	744	532
583	744	530
584	745	528
585	746	527
586	746	525
587	747	523
588	748	522
589	748	520
590	749	518
591	750	517
592	751	515
593	751	513
594	752	512
595	753	510
596	755	509
597	756	508
598	756	506
599	757	505
600	758	503
601	758	501
602	759	500
603	760	498
604	761	497
605	762	496
606	765	495
607	767	495
608	771	495
609	772	493
610	773	492
611	775	491
612	776	490
613	777	489
614	778	487
615	779	486
616	780	484
617	781	483
618	783	481
619	785	481
620	786	480
621	787	478
622	788	477
623	791	476
624	792	475
625	793	474
626	794	472
627	798	473
628	803	474
629	806	473
630	809	473
631	812	472
632	821	476
633	822	475
634	824	473
635	825	472
636	826	470
637	828	469
638	833	470
639	834	469
640	835	468
641	837	467
642	838	465
643	840	464
644	841	463
645	842	461
646	843	460
647	849	461
648	852	461
649	854	460
650	855	458
651	859	458
652	861	457
653	869	460
654	877	462
655	881	462
656	883	461
657	884	459
658	887	459
659	888	457
660	889	456
661	891	454
662	892	453
663	899	455
664	901	453
665	902	452
666	904	451
667	905	450
668	906	448
669	908	447
670	909	445
671	911	444
672	916	445
673	918	444
674	920	443
675	923	442
676	924	441
677	925	439
678	932	440
679	935	440
680	937	438
681	938	437
682	940	436
683	942	435
684	943	434
685	945	432
686	946	431
687	948	430
688	949	428
689	951	427
690	952	425
691	953	424
692	959	424
693	962	424
694	964	423
695	965	421
696	967	420
697	968	419
698	976	420
699	978	419
700	979	417
701	983	417
702	995	420
703	996	418
704	997	417
705	998	415
706	1008	417
707	1010	416
708	1012	415
709	1013	413
710	1014	412
711	1022	413
712	1025	412
713	1026	411
714	1028	409
715	1029	408
716	1031	407
717	1040	408
718	1042	407
719	1056	410
720	1059	409
721	1062	408
722	1063	407
723	1073	409
724	1074	407
725	1075	406
726	1077	404
727	1083	404
728	1085	403
729	1087	402
730	1088	400
731	1104	404
732	1109	404
733	1113	403
734	1126	406
735	1129	404
736	1131	403
737	1143	406
738	1145	404
739	1154	405
740	1156	404
741	1159	403
742	1162	402
743	1172	403
744	1174	402
745	1176	400
746	1181	400
747	1188	400
748	1192	399
749	1193	397
750	1194	396
751	1203	396
752	1206	395
753	1209	394
754	1210	392
755	1219	393
756	1222	392
757	1230	392
758	1233	391
759	1235	390
760	1236	388
761	1237	386
762	1246	387
763	1248	385
764	1250	384
765	1251	382
766	1252	380
767	1253	378
768	1258	378
769	1260	376
770	1262	375
771	1263	373
772	1264	371
773	1266	369
774	1268	368
775	1273	367
776	1275	365
777	1277	364
778	1278	362
779	1280	361
780	1281	359
781	1283	357
782	1291	357
783	1292	356
784	1293	354
785	1294	352
786	1294	350
787	1295	348
788	1296	346
789	1297	344
790	1298	342
791	1302	342
792	1304	340
793	1305	338
794	1306	336
795	1307	335
796	1308	333
797	1309	331
798	1309	329
799	1311	327
800	1312	326
801	1314	324
802	1319	323
803	1320	321
804	1321	320
805	1322	318
806	1323	316
807	1323	314
808	1324	312
809	1325	311
810	1327	309
811	1327	307
812	1329	305
813	1331	304
814	1332	302
815	1333	300
816	1334	298
817	1335	297
818	1336	295
819	1337	293
820	1337	291
821	1338	289
822	1339	288
823	1340	286
824	1341	284
825	1342	282
826	1343	281
827	1345	279
828	1346	277
829	1347	276
830	1348	274
831	1349	272
832	1350	270
833	1351	268
834	1352	267
835	1352	265
836	1353	263
837	1353	261
838	1354	259
839	1355	258
840	1358	256
841	1360	255
842	1360	253
843	1361	251
844	1362	249
845	1362	248
846	1363	246
847	1364	244
848	1364	242
849	1365	240
850	1366	239
851	1366	237
852	1367	235
853	1368	233
854	1368	232
855	1369	230
856	1370	228
857	1370	226
858	1372	225
859	1373	223
860	1374	221
861	1375	220
862	1375	218
863	1376	216
864	1376	214
865	1377	213
866	1378	211
867	1378	209
868	1379	207
869	1380	206
870	1380	204
871	1381	202
872	1381	201
873	1382	199
874	1383	197
875	1383	195
876	1384	194
877	1385	192
878	1386	190
879	1388	189
880	1389	187
881	1389	185
882	1390	184
883	1391	182
884	1391	180
885	1392	179
886	1392	177
887	1393	175
888	1394	174
889	1395	172
890	1395	170
891	1396	169
892	1396	167
893	1397	165
894	1398	164
895	1398	162
896	1399	160
897	1400	159
898	1402	157
899	1403	155
900	1404	154
901	1404	152
902	1405	150
903	1406	149
904	1406	147
905	1407	146
906	1407	144
907	1408	142
908	1409	141
909	1409	139
910	1410	137
911	1411	136
912	1411	134
913	1412	132
914	1413	131
915	1413	129
916	1414	128
917	1414	126
918	1416	124
919	1417	123
920	1418	121
921	1419	120
922	1420	118
923	1420	116
924	1421	115
925	1422	113
926	1422	112
927	1423	110
928	1424	108
929	1424	107
930	1425	105
931	1425	104
932	1426	102
933	1427	100
934	1427	99
935	1428	97
936	1429	96
937	1429	94
938	1431	92
939	1432	91
940	1432	89
941	1433	88
942	1433	86
943	1434	85
944	1435	83
945	1435	81
946	1436	80
947	1437	78
948	1437	77
949	1438	75
950	1439	74
951	1439	72
952	1440	71
953	1440	69
954	1441	67
955	1442	66
956	1442	64
957	1443	63
958	1444	61
959	1445	60
960	1446	58
961	1447	57
962	1447	55
963	1448	54
964	1449	52
965	1449	51
966	1450	49
967	1451	47
968	1451	46
969	1452	44
970	1453	43
971	1453	41
972	1454	40
973	1455	38
974	1455	37
975	1456	35
976	1457	34
977	1457	32
978	1458	31
979	1460	29
980	1461	28
981	1462	26
982	1462	25
983	1463	23
984	1464	22
985	1465	20
986	1465	19
987	1466	17
988	1467	16
989	1467	14
990	1468	13
991	1469	11
992	1469	10
993	1470	8
994	1470	7
995	1471	5
996	1472	4
997	1472	2
998	1474	1
999	1475	0
